Age,gender,How often do you feel stressed?,How often have you felt anxious or worried in the past month?,"How often have you felt down, depressed, or hopeless?",How often do you engage in self-care activities?,How would you rate your sleep quality over the past week?,How often do you exercise?,How balanced do you consider your diet?,How often do you consume alcohol or use recreational substances?,How satisfied are you with your academic performance?,How pressured do you feel by your academic responsibilities?,How often do you procrastinate?,How balanced do you feel between work/study and personal life?,How resilient do you consider yourself in the face of challenges?,How optimistic are you about your future?,How aware are you of your emotions and feelings?,How effective are your coping mechanisms?,How often do you feel lonely?,How would you rate your relationship with your family?,How satisfied are you with your romantic relationship (if applicable)?,How anxious do you feel in social situations?,How confident are you in your communication skills?,Have you ever been diagnosed with a mental health condition?,Have you ever attended therapy or counseling sessions?,How would you rate your physical health over the past month?,risk_level,risk_score
21.0,,5.0,5.0,5.0,3.2440764696895577,3.877961765155221,3.0,4.877961765155221,5.0,4.755923530310442,4.0,4.877961765155221,4.0,2.122038234844779,3.877961765155221,2.122038234844779,3.877961765155221,3.877961765155221,3.0,3.2440764696895577,3.0,2.122038234844779,,,2.0,Low,24
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.9807076404450807,5.0,5.0,5.0,5.0,5.0,5.0,2.9807076404450807,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,High,57
21.0,,4.034388521115218,4.034388521115218,5.0,2.0343885211152184,4.0,3.9656114788847816,4.034388521115218,5.0,4.034388521115218,4.0,3.068777042230437,3.0343885211152184,2.9656114788847816,4.0,2.0,4.0,3.0343885211152184,3.0,4.931222957769563,2.0343885211152184,2.9656114788847816,,,3.931222957769563,Low,21
21.0,,4.090679597921218,5.0,4.090679597921218,3.7279612062363454,2.818640804157564,3.7279612062363454,2.818640804157564,5.0,3.909320402078782,3.181359195842436,4.090679597921218,1.909320402078782,5.0,5.0,1.3627183916848715,5.0,4.090679597921218,3.181359195842436,5.0,3.181359195842436,5.0,,,3.181359195842436,Low,21
21.0,,5.0,5.0,5.0,4.482440036799966,3.258779981600017,3.0,4.258779981600017,5.0,3.517559963200034,4.0,4.258779981600017,4.0,2.741220018399983,3.258779981600017,2.741220018399983,3.258779981600017,3.258779981600017,3.0,4.482440036799966,3.0,2.741220018399983,,,2.0,Low,24
20.662522284353983,,4.662522284353982,5.0,4.325044568707964,5.0,2.662522284353982,3.337477715646018,4.0,5.0,3.674955431292036,4.337477715646018,4.0,4.0,3.0,3.0,2.325044568707964,3.0,3.337477715646018,2.325044568707964,5.0,3.337477715646018,3.674955431292036,,,2.337477715646018,Low,27
26.83519917195005,,2.860506139347958,2.0,1.0,1.0,2.0,2.721012278695916,1.860506139347958,5.0,1.860506139347958,2.139493860652042,1.860506139347958,1.860506139347958,1.860506139347958,1.860506139347958,1.2789877213040837,1.860506139347958,1.860506139347958,1.0,5.0,1.0,1.2789877213040837,,,1.860506139347958,Low,12
54.68491222177431,,2.292144648535218,2.0,1.0,1.0,2.0,1.5842892970704363,1.2921446485352182,5.0,1.2921446485352182,2.707855351464782,1.2921446485352182,1.2921446485352182,1.2921446485352182,1.2921446485352182,2.415710702929564,1.2921446485352182,1.2921446485352182,1.0,5.0,1.0,2.415710702929564,,,1.2921446485352182,Low,12
37.9517303213909,,2.6336381567063083,2.0,1.0,1.0,2.0,2.2672763134126166,1.6336381567063083,5.0,1.6336381567063083,2.366361843293692,1.6336381567063083,1.6336381567063083,1.6336381567063083,1.6336381567063083,1.7327236865873834,1.6336381567063083,1.6336381567063083,1.0,5.0,1.0,1.7327236865873834,,,1.6336381567063083,Low,12
42.34742922663476,,2.543930015782964,2.0,1.0,1.0,2.0,2.087860031565928,1.543930015782964,5.0,1.543930015782964,2.456069984217036,1.543930015782964,1.543930015782964,1.543930015782964,1.543930015782964,1.912139968434072,1.543930015782964,1.543930015782964,1.0,5.0,1.0,1.912139968434072,,,1.543930015782964,Low,12
58.47362210825767,,2.214824038606986,2.0,1.0,1.0,2.0,1.4296480772139728,1.2148240386069864,5.0,1.2148240386069864,2.785175961393014,1.2148240386069864,1.2148240386069864,1.2148240386069864,1.2148240386069864,2.570351922786027,1.2148240386069864,1.2148240386069864,1.0,5.0,1.0,2.570351922786027,,,1.2148240386069864,Low,12
59.21598467424037,,2.19967378215836,2.0,1.0,1.0,2.0,1.3993475643167197,1.1996737821583596,5.0,1.1996737821583596,2.8003262178416404,1.1996737821583596,1.1996737821583596,1.1996737821583596,1.1996737821583596,2.6006524356832807,1.1996737821583596,1.1996737821583596,1.0,5.0,1.0,2.6006524356832807,,,1.1996737821583596,Low,12
45.197487482266965,,2.4857655615863883,2.0,1.0,1.0,2.0,1.9715311231727768,1.4857655615863885,5.0,1.4857655615863885,2.514234438413612,1.4857655615863885,1.4857655615863885,1.4857655615863885,1.4857655615863885,2.0284688768272234,1.4857655615863885,1.4857655615863885,1.0,5.0,1.0,2.0284688768272234,,,1.4857655615863885,Low,12
49.02831387424008,,2.4075854311379574,2.0,1.0,1.0,2.0,1.815170862275915,1.4075854311379574,5.0,1.4075854311379574,2.5924145688620426,1.4075854311379574,1.4075854311379574,1.4075854311379574,1.4075854311379574,2.184829137724085,1.4075854311379574,1.4075854311379574,1.0,5.0,1.0,2.184829137724085,,,1.4075854311379574,Low,12
